rs,r,nr,nr_new,rto,reg,st,interconnect,country,gg_reg
372,p145,nr6,nr24new,rto37,MA,ON,eastern,CAN,CAN
373,p146,nr6,nr24new,rto37,MA,ON,eastern,CAN,CAN
374,p147,nr6,nr24new,rto37,MA,ON,eastern,CAN,CAN
375,p148,nr14,nr25new,rto38,NE,QC,quebec,CAN,CAN
376,p149,nr14,nr25new,rto38,NE,QC,quebec,CAN,CAN
377,p150,nr14,nr25new,rto38,NE,QC,quebec,CAN,CAN
378,p151,nr14,nr25new,rto38,NE,QC,quebec,CAN,CAN
379,p151,nr14,nr25new,rto38,NE,QC,quebec,CAN,CAN
380,p151,nr14,nr25new,rto38,NE,QC,quebec,CAN,CAN
381,p151,nr14,nr25new,rto38,NE,QC,quebec,CAN,CAN
382,p151,nr14,nr25new,rto38,NE,QC,quebec,CAN,CAN
383,p151,nr14,nr25new,rto38,NE,QC,quebec,CAN,CAN
384,p151,nr14,nr25new,rto38,NE,QC,quebec,CAN,CAN
385,p151,nr14,nr25new,rto38,NE,QC,quebec,CAN,CAN
386,p151,nr14,nr25new,rto38,NE,QC,quebec,CAN,CAN
387,p151,nr14,nr25new,rto38,NE,QC,quebec,CAN,CAN
388,p151,nr14,nr25new,rto38,NE,QC,quebec,CAN,CAN
389,p151,nr14,nr25new,rto38,NE,QC,quebec,CAN,CAN
390,p151,nr14,nr25new,rto38,NE,QC,quebec,CAN,CAN
391,p151,nr14,nr25new,rto38,NE,QC,quebec,CAN,CAN
392,p151,nr14,nr25new,rto38,NE,QC,quebec,CAN,CAN
393,p151,nr14,nr25new,rto38,NE,QC,quebec,CAN,CAN
394,p151,nr14,nr25new,rto38,NE,QC,quebec,CAN,CAN
395,p151,nr14,nr25new,rto38,NE,QC,quebec,CAN,CAN
396,p151,nr14,nr25new,rto38,NE,QC,quebec,CAN,CAN
397,p151,nr14,nr25new,rto38,NE,QC,quebec,CAN,CAN
398,p151,nr14,nr25new,rto38,NE,QC,quebec,CAN,CAN
399,p151,nr14,nr25new,rto38,NE,QC,quebec,CAN,CAN
400,p151,nr14,nr25new,rto38,NE,QC,quebec,CAN,CAN
401,p152,nr7,nr26new,rto39,NE,NB,eastern,CAN,CAN
402,p153,nr7,nr26new,rto39,NE,NS,eastern,CAN,CAN
403,p154,nr14,nr24new,rto38,NE,NL,quebec,CAN,CAN
404,p155,nr14,nr24new,rto38,NE,NFI,quebec,CAN,CAN
405,p156,nr7,nr26new,rto39,NE,PEI,eastern,CAN,CAN
406,p157,nr15,nr27new,rto40,MEX,SIN_SON,mexico,MEX,MEX
407,p158,nr15,nr27new,rto40,MEX,SIN_SON,mexico,MEX,MEX
408,p159,nr15,nr27new,rto40,MEX,SIN_SON,mexico,MEX,MEX
409,p160,nr15,nr27new,rto40,MEX,SIN_SON,mexico,MEX,MEX
410,p161,nr15,nr27new,rto40,MEX,SIN_SON,mexico,MEX,MEX
411,p162,nr15,nr27new,rto40,MEX,SIN_SON,mexico,MEX,MEX
423,p174,nr15,nr27new,rto40,MEX,SLP,mexico,MEX,MEX
424,p175,nr15,nr27new,rto40,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,MEX
425,p176,nr15,nr27new,rto40,MEX,SLP,mexico,MEX,MEX
426,p177,nr15,nr27new,rto40,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,MEX
427,p178,nr15,nr27new,rto40,MEX,AGU_GUA_JAL_NAY_QUE_ZAC,mexico,MEX,MEX
428,p179,nr15,nr27new,rto40,MEX,AGU_GUA_JAL_NAY_QUE_ZAC,mexico,MEX,MEX
431,p182,nr15,nr27new,rto40,MEX,AGU_GUA_JAL_NAY_QUE_ZAC,mexico,MEX,MEX
432,p183,nr15,nr27new,rto40,MEX,COL,mexico,MEX,MEX
433,p184,nr15,nr27new,rto40,MEX,GRO_MIC,mexico,MEX,MEX
434,p185,nr15,nr27new,rto40,MEX,GRO_MIC,mexico,MEX,MEX
435,p186,nr15,nr27new,rto40,MEX,AGU_GUA_JAL_NAY_QUE_ZAC,mexico,MEX,MEX
436,p187,nr15,nr27new,rto40,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,MEX
437,p188,nr15,nr27new,rto40,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,MEX
438,p189,nr15,nr27new,rto40,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,MEX
439,p190,nr15,nr27new,rto40,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,MEX
440,p191,nr15,nr27new,rto40,MEX,GRO_MIC,mexico,MEX,MEX
441,p192,nr15,nr27new,rto40,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,MEX
442,p193,nr15,nr27new,rto40,MEX,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,mexico,MEX,MEX
443,p194,nr15,nr27new,rto40,MEX,CAM_CHP_TAB,mexico,MEX,MEX
444,p195,nr15,nr27new,rto40,MEX,CAM_CHP_TAB,mexico,MEX,MEX
450,p201,nr15,nr27new,rto41,MEX,BCN,mexico,MEX,MEX
451,p202,nr15,nr27new,rto41,MEX,BCN,mexico,MEX,MEX
452,p203,nr15,nr27new,rto41,MEX,BCN,mexico,MEX,MEX
453,p204,nr15,nr27new,rto41,MEX,BCN,mexico,MEX,MEX
454,p205,nr15,nr27new,rto41,MEX,BCS,mexico,MEX,MEX
