r,BATTERY|PVB,COAL|BIO,COMBINED_CYCLE,COMBUSTION_TURBINE|CONSUME|LFILL|OGS,NUCLEAR,TES|CSP
p13037,0.0012,-0.0485,-0.038,-0.0307,-0.0167,-0.0222
p13039,0.0183,-0.0409,-0.0357,-0.028,-0.0064,-0.0194
p13043,0.0283,-0.0278,-0.0287,-0.0217,0.0037,-0.0152
p13045,0.0187,0.0093,-0.006,-0.0051,0.0146,-0.0034
p13047,0.0163,-0.008,-0.0147,-0.0127,0.0053,-0.0087
p13049,0.0126,-0.0444,-0.0368,-0.0287,-0.0103,-0.0203
p13051,0.0434,-0.0345,-0.034,-0.0256,0.0085,-0.0176
p13053,0.0128,-0.019,-0.0214,-0.0176,-0.0004,-0.0122
p13055,0.0168,-0.0092,-0.0162,-0.0144,0.0048,-0.0098
p13057,0.0195,0.0123,-0.0042,-0.0034,0.0164,-0.0022
p13059,0.019,0.0045,-0.0085,-0.0065,0.0125,-0.0045
p13061,0.005,-0.0415,-0.0342,-0.0277,-0.0122,-0.0195
p13063,0.02,0.0187,-0.0007,-0.0007,0.0193,-0.0003
p13065,0.0065,-0.0486,-0.0386,-0.0306,-0.0146,-0.0219
p13067,0.02,0.0175,-0.0012,-0.001,0.0188,-0.0007
p13069,0.0107,-0.0413,-0.0348,-0.0273,-0.0097,-0.0195
p13071,-0.0021,-0.0566,-0.0428,-0.0342,-0.0213,-0.025
p13073,0.0227,-0.0142,-0.0193,-0.014,0.006,-0.0098
p13075,0.0002,-0.0543,-0.0413,-0.033,-0.0193,-0.0242
p13077,0.0191,0.012,-0.0044,-0.0037,0.0162,-0.0023
p13079,0.0168,-0.0076,-0.0155,-0.012,0.0066,-0.0085
p13081,0.0093,-0.0343,-0.0302,-0.0242,-0.0077,-0.0175
p13083,0.0155,-0.016,-0.0195,-0.0175,0.001,-0.012
p13085,0.019,0.0073,-0.0067,-0.0053,0.0137,-0.004
p13087,-0.0069,-0.0641,-0.0469,-0.0376,-0.0265,-0.028
p13089,0.02,0.019,-0.0005,-0.0005,0.0195,-0.0002
p13091,0.0149,-0.0282,-0.0273,-0.0216,-0.0027,-0.0152
p13093,0.0122,-0.0262,-0.0259,-0.0207,-0.0031,-0.0147
p13095,0.0018,-0.0486,-0.0382,-0.0306,-0.017,-0.022
p13097,0.02,0.0163,-0.002,-0.0017,0.018,-0.0012
p13099,0.0001,-0.0517,-0.0397,-0.0323,-0.0185,-0.0231
p13101,0.0026,-0.0524,-0.0407,-0.0325,-0.0177,-0.0232
p13103,0.0426,-0.0324,-0.033,-0.0248,0.0088,-0.0169
p13105,0.0181,-0.0053,-0.014,-0.0099,0.0074,-0.0071
p13107,0.0254,-0.0242,-0.0262,-0.0198,0.0038,-0.0139
p13109,0.0305,-0.031,-0.0307,-0.023,0.0035,-0.016
p13111,0.019,0.0004,-0.0099,-0.0077,0.0103,-0.0053
p13113,0.02,0.0163,-0.0023,-0.0017,0.018,-0.0013
p13115,0.0177,-0.0016,-0.0118,-0.0106,0.0088,-0.0072
p13117,0.0196,0.0122,-0.0042,-0.0032,0.0162,-0.0022
p13119,0.018,-0.001,-0.0112,-0.0082,0.0096,-0.0058
p13121,0.02,0.0183,-0.0009,-0.0007,0.0193,-0.0005
p13123,0.019,0.0018,-0.0096,-0.0075,0.011,-0.005
p13125,0.0223,-0.0127,-0.019,-0.014,0.0067,-0.01
p13127,0.0236,-0.0386,-0.0349,-0.027,-0.0029,-0.0189
p13129,0.0185,0.0005,-0.0105,-0.0086,0.0105,-0.006
p13131,-0.0077,-0.0661,-0.0477,-0.0384,-0.0277,-0.0284
p13133,0.0193,0.0011,-0.0107,-0.0081,0.011,-0.0054
p13135,0.02,0.0158,-0.0022,-0.0017,0.0179,-0.0012
p13137,0.019,0.0022,-0.0093,-0.0067,0.0108,-0.0047
p13139,0.0191,0.0079,-0.0069,-0.0053,0.014,-0.0037
p13141,0.0201,-0.0063,-0.0149,-0.0111,0.0084,-0.008
p13143,0.0186,0.0054,-0.0082,-0.0066,0.0126,-0.0046
p13145,0.016,-0.0076,-0.0154,-0.0125,0.0063,-0.0087
p13147,0.0175,-0.0047,-0.0135,-0.0095,0.0075,-0.007
p13149,0.0181,0.0047,-0.0083,-0.0071,0.0121,-0.0049
p13151,0.02,0.016,-0.002,-0.0016,0.018,-0.0012
p13153,0.0153,-0.0177,-0.0213,-0.0167,0.0019,-0.012
p13155,0.0081,-0.0416,-0.0347,-0.0273,-0.011,-0.0199
p13157,0.019,0.0061,-0.0076,-0.0057,0.0133,-0.004
p13159,0.0194,0.0068,-0.0074,-0.0057,0.0137,-0.004
p13161,0.0164,-0.0359,-0.0319,-0.0249,-0.0047,-0.0176
p13163,0.0243,-0.0182,-0.0224,-0.0168,0.0054,-0.0118
p13165,0.0304,-0.0254,-0.0273,-0.0204,0.0054,-0.0143
p13167,0.0223,-0.0202,-0.0233,-0.0177,0.0038,-0.0125
p13169,0.0187,-0.002,-0.0125,-0.0096,0.0098,-0.007
p13171,0.0185,0.0065,-0.0075,-0.006,0.0135,-0.0042
p13173,0.003,-0.0517,-0.04,-0.0317,-0.017,-0.0233
p13175,0.0189,-0.0223,-0.0244,-0.0187,0.0015,-0.0132
p13177,0.0052,-0.0412,-0.034,-0.0274,-0.0124,-0.0198
p13179,0.0341,-0.0336,-0.0327,-0.0247,0.0042,-0.0172
p13181,0.0204,-0.0114,-0.0178,-0.0128,0.0062,-0.0092
p13183,0.0286,-0.0336,-0.0322,-0.0245,0.0019,-0.0171
p13185,-0.0009,-0.0562,-0.0427,-0.0341,-0.0207,-0.0248
p13187,0.019,0.0047,-0.0078,-0.0058,0.0123,-0.0042
p13189,0.022,-0.0122,-0.0184,-0.0134,0.0068,-0.0096
p13191,0.0311,-0.0356,-0.0337,-0.0257,0.0019,-0.0178
p13193,0.0132,-0.0202,-0.0225,-0.018,0.0,-0.0128
p13195,0.0184,0.0004,-0.0108,-0.0078,0.0102,-0.0054
p13197,0.0127,-0.0197,-0.0221,-0.0179,-0.0006,-0.0124
p13199,0.018,0.0036,-0.0091,-0.0074,0.0118,-0.0051
p13201,-0.004,-0.0584,-0.0438,-0.035,-0.023,-0.0258
p13205,-0.0032,-0.0575,-0.0431,-0.0348,-0.0222,-0.0255
p13207,0.0184,0.0023,-0.01,-0.0077,0.0114,-0.0056
p13209,0.0203,-0.029,-0.0285,-0.0217,-0.0005,-0.0155
p13211,0.0194,0.0073,-0.0071,-0.0051,0.0141,-0.0039
p13213,0.0186,-0.0018,-0.0114,-0.0092,0.009,-0.0062
p13215,0.0145,-0.013,-0.0182,-0.015,0.0033,-0.0102
p13217,0.02,0.0136,-0.0036,-0.0028,0.0168,-0.0022
p13219,0.0193,0.006,-0.0077,-0.006,0.0135,-0.0042
p13221,0.019,-0.0012,-0.0118,-0.0089,0.0098,-0.006
p13223,0.0193,0.013,-0.004,-0.0033,0.0167,-0.0021
p13225,0.0153,-0.0147,-0.019,-0.015,0.0033,-0.0107
p13227,0.019,0.007,-0.0068,-0.0054,0.0136,-0.0036
p13229,0.0166,-0.0401,-0.0346,-0.027,-0.0067,-0.019
p13231,0.0187,0.0083,-0.0067,-0.0055,0.014,-0.0035
p13233,0.0183,0.0033,-0.0092,-0.008,0.0113,-0.0057
p13235,0.014,-0.0254,-0.0256,-0.02,-0.0016,-0.0142
p13237,0.019,0.0015,-0.0103,-0.0078,0.0115,-0.0055
p13239,0.0075,-0.0352,-0.0307,-0.0252,-0.0085,-0.0175
p13241,0.0179,-0.0013,-0.0109,-0.0077,0.0087,-0.0051
p13243,0.0054,-0.0396,-0.0331,-0.0267,-0.0115,-0.019
p13245,0.0257,-0.0174,-0.022,-0.0159,0.006,-0.0113
p13247,0.02,0.0173,-0.0017,-0.001,0.0187,-0.001
p13249,0.0123,-0.0217,-0.0233,-0.0187,-0.0013,-0.0133
p13251,0.0374,-0.0291,-0.0303,-0.0225,0.0075,-0.0156
p13253,-0.005,-0.0612,-0.0452,-0.0362,-0.0245,-0.0265
p13255,0.0192,0.013,-0.0038,-0.003,0.0164,-0.0022
p13257,0.0177,-0.0017,-0.0113,-0.008,0.009,-0.0057
p13259,0.0093,-0.0289,-0.0271,-0.0219,-0.0055,-0.0153
p13261,0.0093,-0.031,-0.0285,-0.0227,-0.006,-0.0161
p13263,0.0159,-0.0066,-0.0151,-0.012,0.0068,-0.0085
p13265,0.02,-0.0047,-0.0137,-0.0105,0.0088,-0.0075
p13267,0.0266,-0.0309,-0.0303,-0.023,0.0016,-0.0163
p13269,0.015,-0.0127,-0.0181,-0.0146,0.0039,-0.0101
p13271,0.0147,-0.0339,-0.0309,-0.0239,-0.005,-0.0171
p13273,0.005,-0.0404,-0.0336,-0.027,-0.0117,-0.0196
p13275,-0.0068,-0.0642,-0.0469,-0.0376,-0.0263,-0.028
p13277,0.0038,-0.0477,-0.0377,-0.03,-0.0153,-0.022
p13279,0.0233,-0.0293,-0.0291,-0.0221,0.0009,-0.0156
p13281,0.0187,0.0,-0.0102,-0.0075,0.0095,-0.005
p13283,0.022,-0.0246,-0.0262,-0.02,0.0018,-0.0142
p13285,0.0176,0.0005,-0.0108,-0.0089,0.0102,-0.0061
p13287,0.0068,-0.0405,-0.034,-0.027,-0.011,-0.0195
p13289,0.0175,-0.0138,-0.019,-0.0147,0.0045,-0.0105
p13291,0.019,0.002,-0.0092,-0.0068,0.0108,-0.0048
p13293,0.0173,-0.0007,-0.0117,-0.0091,0.0099,-0.0066
p13295,0.016,-0.0106,-0.0165,-0.0146,0.0035,-0.0099
p13297,0.02,0.0125,-0.0042,-0.0032,0.0162,-0.0023
p13299,0.0113,-0.0443,-0.0365,-0.0286,-0.0107,-0.0203
p13301,0.021,-0.0092,-0.0164,-0.0124,0.0076,-0.0084
p13303,0.0213,-0.0147,-0.0201,-0.0152,0.0057,-0.0108
p13305,0.0227,-0.0365,-0.0334,-0.026,-0.0026,-0.0181
p13307,0.0085,-0.0315,-0.029,-0.023,-0.007,-0.0165
p13309,0.0183,-0.0297,-0.0285,-0.0222,-0.0015,-0.0157
p13311,0.019,0.0034,-0.0086,-0.0064,0.0112,-0.0044
p13313,0.0167,-0.0047,-0.0129,-0.0109,0.0069,-0.0073
p13315,0.0111,-0.0334,-0.0301,-0.0239,-0.0063,-0.017
p13317,0.0195,-0.0066,-0.0149,-0.0106,0.0078,-0.0076
p13319,0.0192,-0.0126,-0.0189,-0.0143,0.0055,-0.0102
p13321,0.0035,-0.0462,-0.037,-0.0295,-0.0148,-0.0212
p16001,0.0203,0.0314,0.011,0.011,0.0207,0.0105
p16003,0.0271,0.0562,0.03,0.0275,0.0346,0.0199
p16005,0.0203,0.012,-0.0006,-0.0013,0.0169,0.0043
p16007,0.0214,0.0078,-0.0033,-0.004,0.0165,0.0029
p16009,0.0304,0.0719,0.0421,0.0328,0.0412,0.0218
p16011,0.0174,0.0152,0.0019,0.0009,0.0157,0.0052
p16013,0.0231,0.0346,0.0148,0.0136,0.025,0.0122
p16015,0.0214,0.0352,0.0139,0.0134,0.0229,0.0119
p16017,0.0305,0.0724,0.0427,0.0338,0.0416,0.0223
p16019,0.015,0.0123,0.0002,-0.0008,0.0135,0.0042
p16021,0.0303,0.0724,0.0436,0.0356,0.0419,0.0233
p16023,0.0177,0.0231,0.0076,0.0066,0.0183,0.008
p16025,0.024,0.041,0.0185,0.0173,0.0271,0.0144
p16027,0.021,0.0331,0.0123,0.0121,0.0219,0.0113
p16029,0.0185,0.0106,-0.0012,-0.0021,0.0153,0.0038
p16031,0.0257,0.03,0.011,0.0094,0.026,0.0107
p16033,0.0126,0.0158,0.0029,0.002,0.0133,0.0049
p16035,0.027,0.0628,0.0366,0.0304,0.0371,0.0206
p16037,0.0218,0.0379,0.0174,0.016,0.0253,0.0133
p16039,0.0223,0.0372,0.0153,0.0147,0.0244,0.0128
p16041,0.0233,0.008,-0.0035,-0.0042,0.0177,0.003
p16043,0.0086,0.0084,-0.0019,-0.0028,0.0085,0.0021
p16045,0.0215,0.0354,0.0139,0.0136,0.0229,0.0121
p16047,0.0252,0.0435,0.0202,0.0188,0.029,0.0154
p16049,0.0258,0.0572,0.0323,0.0281,0.0347,0.0196
p16051,0.0144,0.0155,0.0025,0.0017,0.014,0.0049
p16053,0.0262,0.0422,0.0191,0.0175,0.03,0.0152
p16055,0.03,0.071,0.0411,0.0316,0.041,0.021
p16057,0.0312,0.0743,0.044,0.0358,0.043,0.0236
p16059,0.0192,0.0351,0.0168,0.0149,0.0234,0.0122
p16061,0.0316,0.0747,0.0444,0.038,0.044,0.0252
p16063,0.0248,0.0392,0.0174,0.0158,0.0278,0.014
p16065,0.0129,0.0123,0.0004,-0.0004,0.0123,0.004
p16067,0.023,0.0278,0.01,0.0089,0.023,0.0096
p16069,0.0321,0.0766,0.0459,0.0388,0.0446,0.0255
p16071,0.0232,0.0107,-0.0017,-0.0025,0.0184,0.0039
p16073,0.0266,0.0519,0.0255,0.0239,0.0329,0.0184
p16075,0.022,0.037,0.015,0.0145,0.0238,0.0128
p16077,0.0206,0.0154,0.0016,0.0007,0.0178,0.0054
p16079,0.0287,0.0678,0.0396,0.0319,0.0394,0.0213
p16081,0.0091,0.0063,-0.0037,-0.0044,0.0079,0.001
p16083,0.0287,0.0508,0.0246,0.0227,0.0348,0.018
p16085,0.0245,0.0477,0.0237,0.0218,0.0299,0.0167
p16087,0.0248,0.0475,0.0232,0.0217,0.0299,0.0166
p17001,0.0314,0.0866,0.0465,0.0442,0.0482,0.0282
p17003,0.04,0.0468,0.0222,0.0246,0.038,0.0156
p17005,0.0593,0.1223,0.0695,0.069,0.0778,0.0433
p17007,0.0367,0.1865,0.1145,0.1043,0.0938,0.0673
p17009,0.0353,0.0939,0.0513,0.0489,0.0531,0.031
p17011,0.0222,0.101,0.0555,0.0517,0.0489,0.0319
p17013,0.0577,0.1227,0.0693,0.0688,0.0768,0.0433
p17015,0.0164,0.0814,0.0431,0.04,0.0376,0.0244
p17017,0.0367,0.0989,0.0547,0.0519,0.056,0.0329
p17019,0.0323,0.1009,0.0571,0.0529,0.0555,0.034
p17021,0.0447,0.1043,0.0583,0.0566,0.0627,0.0357
p17023,0.0294,0.0607,0.0317,0.0304,0.0377,0.0197
p17025,0.0406,0.0789,0.0426,0.0423,0.0505,0.0266
p17027,0.0596,0.1212,0.0688,0.0684,0.0772,0.0427
p17029,0.0333,0.0779,0.0425,0.0405,0.0469,0.026
p17031,0.066,0.3293,0.2066,0.1879,0.1693,0.122
p17033,0.0293,0.0543,0.0277,0.0269,0.0349,0.0171
p17035,0.0347,0.0757,0.041,0.0398,0.0468,0.0252
p17037,0.0421,0.2075,0.1273,0.1159,0.1055,0.0747
p17039,0.0335,0.1059,0.0595,0.0558,0.058,0.0356
p17041,0.0331,0.0843,0.0467,0.0443,0.0493,0.0283
p17043,0.0631,0.3154,0.1976,0.1797,0.1621,0.1169
p17045,0.029,0.0661,0.0355,0.0335,0.0396,0.0216
p17047,0.034,0.0575,0.0298,0.0298,0.039,0.0187
p17049,0.0404,0.0852,0.0467,0.0458,0.053,0.029
p17051,0.0489,0.1035,0.0578,0.0569,0.0649,0.0361
p17053,0.0358,0.1369,0.0805,0.0741,0.0727,0.0478
p17055,0.0462,0.0831,0.0451,0.0456,0.0554,0.0287
p17057,0.026,0.0858,0.0454,0.0431,0.0449,0.0267
p17059,0.0353,0.0505,0.0253,0.0265,0.0373,0.0167
p17061,0.0564,0.1207,0.0685,0.0675,0.0755,0.0425
p17063,0.0458,0.2172,0.1335,0.1216,0.1116,0.0785
p17065,0.0407,0.0709,0.0377,0.0379,0.0476,0.0239
p17067,0.0233,0.0754,0.039,0.0368,0.0391,0.0229
p17069,0.0345,0.0353,0.0155,0.018,0.0307,0.0115
p17071,0.0163,0.0657,0.032,0.0303,0.0309,0.018
p17073,0.0131,0.0619,0.0285,0.0275,0.027,0.0154
p17075,0.0386,0.1588,0.0954,0.0873,0.0836,0.0566
p17077,0.0496,0.0812,0.0435,0.0447,0.0563,0.0281
p17079,0.0344,0.0691,0.0368,0.0359,0.0436,0.0228
p17081,0.0495,0.0948,0.0523,0.0522,0.0616,0.0328
p17083,0.0641,0.1311,0.0747,0.0743,0.0834,0.0467
p17085,0.0154,0.0784,0.0416,0.0383,0.0358,0.0239
p17087,0.0389,0.0464,0.0216,0.0244,0.037,0.0153
p17089,0.052,0.2586,0.1609,0.1462,0.1323,0.0949
p17091,0.0492,0.2312,0.1428,0.1301,0.1195,0.0844
p17093,0.0505,0.2472,0.1532,0.1393,0.1265,0.0903
p17095,0.0167,0.0709,0.035,0.0333,0.033,0.0197
p17097,0.0559,0.2822,0.1768,0.1606,0.1447,0.1043
p17099,0.036,0.1656,0.099,0.0907,0.0842,0.0582
p17101,0.03,0.0504,0.0253,0.0248,0.0338,0.016
p17103,0.028,0.1351,0.079,0.0726,0.0669,0.0461
p17105,0.0367,0.1545,0.0917,0.0842,0.0804,0.0542
p17107,0.0342,0.1023,0.0568,0.0537,0.0564,0.0339
p17109,0.0238,0.0782,0.0402,0.0381,0.0402,0.0236
p17111,0.0458,0.2319,0.1441,0.131,0.1182,0.0847
p17113,0.0327,0.1173,0.0669,0.062,0.0625,0.0397
p17115,0.0371,0.0994,0.0552,0.0526,0.0569,0.0335
p17117,0.0583,0.1234,0.0702,0.0692,0.0775,0.0435
p17119,0.0669,0.135,0.077,0.0769,0.0865,0.0482
p17121,0.049,0.0983,0.0546,0.0543,0.0628,0.0342
p17123,0.0264,0.1115,0.0628,0.0584,0.0558,0.0366
p17125,0.0317,0.0969,0.0533,0.0504,0.0527,0.0313
p17127,0.0357,0.0318,0.0128,0.0163,0.03,0.0103
p17129,0.0363,0.1016,0.0564,0.0537,0.0573,0.0341
p17131,0.0115,0.0548,0.0237,0.023,0.0231,0.0124
p17133,0.0669,0.134,0.0764,0.0764,0.086,0.048
p17135,0.055,0.1168,0.066,0.0652,0.0731,0.041
p17137,0.044,0.1072,0.06,0.0581,0.0635,0.0366
p17139,0.0365,0.0904,0.0501,0.048,0.0535,0.0306
p17141,0.0273,0.1369,0.0807,0.074,0.0676,0.0469
p17143,0.0233,0.0905,0.0486,0.0456,0.0453,0.0282
p17145,0.0553,0.1043,0.058,0.0584,0.0683,0.0366
p17147,0.0335,0.1005,0.0564,0.053,0.0561,0.0338
p17149,0.0431,0.1041,0.0579,0.056,0.0618,0.0355
p17151,0.0352,0.0335,0.014,0.0168,0.0302,0.0107
p17153,0.039,0.0443,0.02,0.023,0.0363,0.0143
p17155,0.0275,0.1218,0.0693,0.064,0.0608,0.0405
p17157,0.0607,0.117,0.0659,0.0663,0.0763,0.0417
p17159,0.0342,0.0628,0.033,0.0322,0.0412,0.0208
p17161,0.0107,0.0524,0.0218,0.0214,0.0214,0.0111
p17163,0.0675,0.1354,0.0772,0.0772,0.0869,0.0484
p17165,0.0382,0.0553,0.0278,0.0292,0.0402,0.0183
p17167,0.0425,0.1071,0.0601,0.0576,0.0626,0.0367
p17169,0.0306,0.0884,0.0474,0.0451,0.0484,0.0283
p17171,0.0464,0.1092,0.0612,0.0594,0.0654,0.0374
p17173,0.0414,0.0936,0.0516,0.0502,0.0567,0.0317
p17175,0.019,0.0823,0.0428,0.0403,0.0393,0.0243
p17177,0.021,0.108,0.0622,0.057,0.052,0.0362
p17179,0.0293,0.1012,0.0558,0.0525,0.0532,0.0328
p17181,0.0433,0.0598,0.03,0.0321,0.0445,0.0201
p17183,0.0302,0.0899,0.0509,0.0472,0.0504,0.0305
p17185,0.0314,0.0512,0.0256,0.0256,0.0348,0.0162
p17187,0.0164,0.0669,0.0324,0.0308,0.0312,0.0182
p17189,0.0593,0.1191,0.0676,0.0671,0.0764,0.0423
p17191,0.0399,0.0728,0.0389,0.0387,0.0479,0.0244
p17193,0.0351,0.0554,0.028,0.0287,0.0386,0.0183
p17195,0.0151,0.073,0.0366,0.0345,0.0329,0.0203
p17197,0.0568,0.2791,0.1741,0.1584,0.1436,0.1028
p17199,0.0422,0.0594,0.0298,0.0316,0.0437,0.0199
p17201,0.0284,0.146,0.0877,0.0801,0.072,0.0513
p17203,0.0298,0.1175,0.0672,0.062,0.0604,0.0395
p18001,0.016,0.0545,0.0305,0.0271,0.0306,0.0176
p18003,0.0177,0.0725,0.0435,0.0388,0.0395,0.0249
p18005,0.0166,0.0146,0.0027,0.0026,0.0119,0.0023
p18007,0.0335,0.123,0.0728,0.0668,0.0664,0.0429
p18009,0.0165,0.0418,0.0213,0.019,0.0243,0.0125
p18011,0.0205,0.0215,0.0075,0.0071,0.0158,0.0045
p18013,0.0187,0.0167,0.0043,0.0041,0.0134,0.0031
p18015,0.0266,0.0788,0.0448,0.0406,0.0442,0.0262
p18017,0.0268,0.0861,0.0496,0.0451,0.0477,0.029
p18019,0.019,0.0102,0.0,0.0,0.01,0.0
p18021,0.0234,0.0369,0.0171,0.0161,0.0243,0.0108
p18023,0.0226,0.043,0.0214,0.0195,0.0263,0.0125
p18025,0.0202,0.0145,0.0032,0.0032,0.0132,0.0022
p18027,0.0237,0.0314,0.0134,0.0131,0.0227,0.0084
p18029,-0.0038,-0.0104,-0.0134,-0.0138,-0.0042,-0.0068
p18031,0.012,0.0103,0.0003,0.0,0.009,0.0008
p18033,0.0179,0.0826,0.0509,0.0453,0.0446,0.0286
p18035,0.017,0.031,0.0144,0.0129,0.0199,0.0088
p18037,0.0222,0.0219,0.0078,0.0079,0.0177,0.0052
p18039,0.0253,0.1211,0.0739,0.0667,0.0638,0.0429
p18041,0.0076,0.0076,-0.0012,-0.002,0.007,0.0004
p18043,0.02,0.01,0.0,0.0,0.01,0.0
p18045,0.026,0.0639,0.0349,0.0318,0.037,0.0205
p18047,0.001,-0.0027,-0.0082,-0.0085,0.0006,-0.0036
p18049,0.0275,0.1168,0.0705,0.0637,0.0618,0.0412
p18051,0.0291,0.0416,0.0196,0.0199,0.0297,0.0127
p18053,0.0184,0.0464,0.0241,0.0216,0.0273,0.0141
p18055,0.0224,0.0306,0.0131,0.0126,0.0213,0.0083
p18057,0.0199,0.019,0.0059,0.0053,0.0141,0.0034
p18059,0.0192,0.0144,0.003,0.0024,0.012,0.0018
p18061,0.02,0.0114,0.001,0.001,0.0111,0.0008
p18063,0.02,0.0157,0.0036,0.0034,0.0129,0.0024
p18065,0.016,0.0205,0.0069,0.0061,0.0144,0.0045
p18067,0.0224,0.0498,0.026,0.0234,0.0296,0.0152
p18069,0.0198,0.0658,0.0372,0.0337,0.0368,0.0217
p18071,0.0173,0.0152,0.0031,0.003,0.0123,0.0024
p18073,0.0406,0.1775,0.1086,0.0988,0.093,0.0638
p18075,0.0146,0.0392,0.0198,0.0174,0.023,0.0116
p18077,0.0127,0.0087,-0.001,-0.001,0.0082,0.0002
p18079,0.0139,0.0114,0.0011,0.0009,0.0101,0.0013
p18081,0.0195,0.0127,0.002,0.0018,0.0115,0.0013
p18083,0.0267,0.04,0.0186,0.0184,0.0276,0.012
p18085,0.0244,0.1056,0.0636,0.0573,0.056,0.0368
p18087,0.02,0.0974,0.0593,0.0533,0.0521,0.0339
p18089,0.0587,0.2907,0.1818,0.1653,0.1496,0.1074
p18091,0.0451,0.222,0.1382,0.1254,0.1148,0.0813
p18093,0.0197,0.0199,0.0062,0.006,0.0154,0.0044
p18095,0.019,0.0263,0.0109,0.01,0.0179,0.0066
p18097,0.02,0.0113,0.0006,0.0006,0.0105,0.0005
p18099,0.0303,0.1391,0.085,0.077,0.0728,0.0496
p18101,0.0216,0.0256,0.0099,0.0095,0.0191,0.0066
p18103,0.0244,0.076,0.0433,0.0391,0.0423,0.0251
p18105,0.0199,0.0218,0.0074,0.007,0.0161,0.0048
p18107,0.0224,0.0397,0.0191,0.0177,0.025,0.0114
p18109,0.0201,0.0171,0.0046,0.0042,0.0137,0.0028
p18111,0.0431,0.1897,0.1161,0.1059,0.0994,0.0685
p18113,0.0208,0.0944,0.0573,0.0513,0.0507,0.0329
p18115,-0.002,-0.008,-0.012,-0.012,-0.0025,-0.006
p18117,0.0202,0.0174,0.0048,0.0047,0.0144,0.0033
p18119,0.0214,0.0279,0.0113,0.0109,0.0197,0.007
p18121,0.0241,0.0439,0.0216,0.0204,0.0275,0.0133
p18123,0.0217,0.017,0.0045,0.0052,0.0153,0.0035
p18125,0.0249,0.0314,0.0133,0.0134,0.023,0.0088
p18127,0.0524,0.259,0.1619,0.1471,0.1336,0.0953
p18129,0.0319,0.0447,0.0214,0.0223,0.0329,0.0143
p18131,0.0353,0.1494,0.091,0.0826,0.0791,0.0532
p18133,0.0215,0.0266,0.0104,0.0098,0.0187,0.0063
p18135,0.0128,0.0258,0.0111,0.0096,0.0164,0.007
p18137,0.0055,0.0022,-0.0051,-0.0055,0.0039,-0.0019
p18139,0.0138,0.0126,0.0019,0.0014,0.0104,0.0016
p18141,0.0341,0.1674,0.1034,0.0936,0.0871,0.0609
p18143,0.017,0.0113,0.001,0.001,0.0103,0.001
p18145,0.0178,0.0133,0.0021,0.0018,0.0113,0.0016
p18147,0.0239,0.0225,0.0081,0.0087,0.0193,0.0059
p18149,0.0377,0.1768,0.1092,0.0987,0.0918,0.0638
p18151,0.0175,0.0848,0.0525,0.047,0.046,0.0295
p18153,0.0256,0.0435,0.0211,0.0205,0.0286,0.0131
p18155,0.0044,-0.0004,-0.0068,-0.0068,0.0022,-0.003
p18157,0.0268,0.0758,0.0426,0.039,0.0427,0.0251
p18159,0.0208,0.0353,0.0165,0.015,0.0225,0.0098
p18161,0.0033,0.003,-0.0043,-0.005,0.004,-0.0017
p18163,0.0292,0.0378,0.0174,0.018,0.0286,0.0116
p18165,0.0265,0.0607,0.0322,0.0302,0.0362,0.0193
p18167,0.0254,0.0471,0.0233,0.022,0.0298,0.0145
p18169,0.0219,0.0719,0.0411,0.037,0.0398,0.024
p18171,0.0292,0.0904,0.0516,0.0472,0.05,0.0308
p18173,0.0261,0.0294,0.0124,0.013,0.023,0.0084
p18175,0.019,0.0127,0.0017,0.0017,0.0116,0.0014
p18177,0.0094,0.0143,0.003,0.0021,0.0104,0.0026
p18179,0.0174,0.0563,0.0314,0.0281,0.0319,0.018
p18181,0.0314,0.1144,0.0678,0.062,0.062,0.0398
p18183,0.0209,0.0854,0.0511,0.0459,0.046,0.0294
p19001,0.0068,0.0251,0.0067,0.0043,0.0099,0.005
p19003,0.0058,0.02,0.0032,0.001,0.0073,0.0031
p19005,0.0074,0.0473,0.023,0.02,0.0187,0.014
p19007,0.0142,0.0547,0.0271,0.024,0.0267,0.0167
p19009,0.0047,0.0144,-0.0016,-0.0031,0.0036,0.0004
p19011,0.0038,0.0113,-0.0049,-0.0056,0.0011,-0.0017
p19013,0.0,-0.0086,-0.019,-0.019,-0.0091,-0.0093
p19015,0.0069,0.0306,0.0105,0.0083,0.0116,0.007
p19017,0.0011,-0.003,-0.0149,-0.0151,-0.0064,-0.0071
p19019,0.0023,0.0043,-0.0097,-0.0101,-0.0026,-0.0045
p19021,0.0042,0.0273,0.0101,0.0077,0.0088,0.0066
p19023,0.0018,0.0021,-0.011,-0.0115,-0.0039,-0.005
p19025,0.0066,0.0294,0.0103,0.0081,0.0109,0.007
p19027,0.0058,0.0222,0.0043,0.0023,0.0076,0.0037
p19029,0.0043,0.0132,-0.0023,-0.004,0.0032,0.0
p19031,0.0108,0.0513,0.0219,0.0209,0.0213,0.0119
p19033,0.0053,0.0294,0.0106,0.0081,0.0097,0.007
p19035,0.0023,0.0198,0.0048,0.0026,0.0049,0.0033
p19037,0.003,0.0133,-0.0022,-0.0037,0.0017,-0.0001
p19039,0.0102,0.0401,0.0176,0.0146,0.0187,0.0113
p19041,0.004,0.0388,0.0193,0.0159,0.0139,0.0118
p19043,0.0066,0.0337,0.0119,0.0098,0.0123,0.0076
